"town","fips","county_fips","county","subtown"
"Seymour","0900967610","09009","New Haven County","Seymour"
"Southbury","0900969640","09009","New Haven County","Southbury"
"Wallingford","0900978740","09009","New Haven County","Wallingford"
"Waterbury","0900980070","09009","New Haven County","Waterbury"
"West Haven","0900982870","09009","New Haven County","West Haven"
"Wolcott","0900987560","09009","New Haven County","Wolcott"
"Woodbridge","0900987700","09009","New Haven County","Woodbridge"
"Bozrah","0901106820","09011","New London County","Bozrah"
"Colchester","0901115910","09011","New London County","Colchester"
"East Lyme","0901123400","09011","New London County","East Lyme"
"Franklin","0901129910","09011","New London County","Franklin"
"Griswold","0901133900","09011","New London County","Griswold"
"Groton","0901134250","09011","New London County","Groton"
"Lebanon","0901142390","09011","New London County","Lebanon"
"Ledyard","0901142600","09011","New London County","Ledyard"
"Lisbon","0901143230","09011","New London County","Lisbon"
"Lyme","0901144210","09011","New London County","Lyme"
"Montville","0901148900","09011","New London County","Montville"
"New London","0901152350","09011","New London County","New London"
"North Stonington","0901155500","09011","New London County","North Stonington"
"Norwich","0901156270","09011","New London County","Norwich"
"Old Lyme","0901157040","09011","New London County","Old Lyme"
"Preston","0901162150","09011","New London County","Preston"
"Salem","0901166210","09011","New London County","Salem"
"Sprague","0901171670","09011","New London County","Sprague"
"Stonington","0901173770","09011","New London County","Stonington"
"Voluntown","0901178600","09011","New London County","Voluntown"
"Waterford","0901180280","09011","New London County","Waterford"
"Andover","0901301080","09013","Tolland County","Andover"
"Bolton","0901306260","09013","Tolland County","Bolton"
"Columbia","0901316400","09013","Tolland County","Columbia"
"Coventry","0901317800","09013","Tolland County","Coventry"
"Ellington","0901325360","09013","Tolland County","Ellington"
"Hebron","0901337910","09013","Tolland County","Hebron"
"Mansfield","0901344910","09013","Tolland County","Mansfield"
"Somers","0901369220","09013","Tolland County","Somers"
"Stafford","0901372090","09013","Tolland County","Stafford"
"Tolland","0901376290","09013","Tolland County","Tolland"
"Union","0901377830","09013","Tolland County","Union"
"Vernon","0901378250","09013","Tolland County","Vernon"
"Willington","0901385950","09013","Tolland County","Willington"
"Ashford","0901501430","09015","Windham County","Ashford"
"Brooklyn","0901509190","09015","Windham County","Brooklyn"
"Canterbury","0901512130","09015","Windham County","Canterbury"
"Chaplin","0901513810","09015","Windham County","Chaplin"
"Eastford","0901521860","09015","Windham County","Eastford"
"Hampton","0901536000","09015","Windham County","Hampton"
"Killingly","0901540500","09015","Windham County","Killingly"
"Plainfield","0901559980","09015","Windham County","Plainfield"
"Pomfret","0901561030","09015","Windham County","Pomfret"
"Putnam","0901562710","09015","Windham County","Putnam"
"Scotland","0901567400","09015","Windham County","Scotland"
"Sterling","0901573420","09015","Windham County","Sterling"
"Thompson","0901575870","09015","Windham County","Thompson"
"Windham","0901586790","09015","Windham County","Windham"
"Woodstock","0901588190","09015","Windham County","Woodstock"
"Bridgeport","0900108070","09001","Fairfield County","Barnum"
"Bridgeport","0900108070","09001","Fairfield County","Beardsley"
"Bridgeport","0900108070","09001","Fairfield County","Hillside"
"Bridgeport","0900108070","09001","Fairfield County","Newfield"
"Bridgeport","0900108070","09001","Fairfield County","Noble"
"Brookfield","0900108980","09001","Fairfield County","Brookfield Center"
"Danbury","0900118500","09001","Fairfield County","Candlewood"
"Darien","0900118850","09001","Fairfield County","Noroton"
"Darien","0900118850","09001","Fairfield County","Noroton Heights"
"Fairfield","0900126620","09001","Fairfield County","Samp Mortar"
"Fairfield","0900126620","09001","Fairfield County","Southport"
"Greenwich","0900133620","09001","Fairfield County","Banksville"
"Greenwich","0900133620","09001","Fairfield County","Byram"
"Greenwich","0900133620","09001","Fairfield County","Cos Cob"
"Greenwich","0900133620","09001","Fairfield County","Glenville"
"Greenwich","0900133620","09001","Fairfield County","Mianus"
"Greenwich","0900133620","09001","Fairfield County","Old Greenwich"
"Greenwich","0900133620","09001","Fairfield County","Riverside"
"Monroe","0900148620","09001","Fairfield County","Stevenson"
"Newtown","0900152980","09001","Fairfield County","Botsford"
"Newtown","0900152980","09001","Fairfield County","Hawleyville"
"Newtown","0900152980","09001","Fairfield County","Sandy Hook"
"Norwalk","0900156060","09001","Fairfield County","Belden"
"Norwalk","0900156060","09001","Fairfield County","Rowayton"
"Norwalk","0900156060","09001","Fairfield County","South Norwalk"
"Norwalk","0900156060","09001","Fairfield County","West Norwalk"
"Norwalk","0900156060","09001","Fairfield County","East Norwalk"
"Redding","0900163480","09001","Fairfield County","Georgetown"
"Redding","0900163480","09001","Fairfield County","Redding Ridge"
"Redding","0900163480","09001","Fairfield County","West Redding"
"Shelton","0900168170","09001","Fairfield County","Huntington"
"Shelton","0900168170","09001","Fairfield County","Pine Rock Park"
"Stamford","0900173070","09001","Fairfield County","Glenbrook"
"Stamford","0900173070","09001","Fairfield County","Ridgeway"
"Stamford","0900173070","09001","Fairfield County","Springdale"
"Westport","0900183500","09001","Fairfield County","Greens Farms"
"Westport","0900183500","09001","Fairfield County","Saugatuck"
"Berlin","0900304300","09003","Hartford County","East Berlin"
"Berlin","0900304300","09003","Hartford County","Kensington"
"Bristol","0900308490","09003","Hartford County","Forestville"
"Canton","0900312270","09003","Hartford County","Canton Center"
"Canton","0900312270","09003","Hartford County","Collinsville"
"Canton","0900312270","09003","Hartford County","North Canton"
"East Windsor","0900324800","09003","Hartford County","Broad Brook"
"East Windsor","0900324800","09003","Hartford County","Melrose"
"East Windsor","0900324800","09003","Hartford County","Warehouse Point"
"East Windsor","0900324800","09003","Hartford County","Windsorville"
"Enfield","0900325990","09003","Hartford County","Hazardville"
"Farmington","0900327600","09003","Hartford County","Unionville"
"Glastonbury","0900331240","09003","Hartford County","East Glastonbury"
"Glastonbury","0900331240","09003","Hartford County","South Glastonbury"
"Granby","0900332640","09003","Hartford County","North Granby"
"Granby","0900332640","09003","Hartford County","West Granby"
"Hartford","0900337070","09003","Hartford County","Barry Square"
"Hartford","0900337070","09003","Hartford County","Blue Hills"
"Hartford","0900337070","09003","Hartford County","Central"
"Hartford","0900337070","09003","Hartford County","Unity Plaza"
"Hartland","0900337140","09003","Hartford County","East  Hartland"
"Hartland","0900337140","09003","Hartford County","West Hartland"
"Manchester","0900344700","09003","Hartford County","Buckland"
"Simsbury","0900368940","09003","Hartford County","Tariffville"
"Simsbury","0900368940","09003","Hartford County","Weatogue"
"Simsbury","0900368940","09003","Hartford County","West Simsbury"
